id,symbol,reqId,name,category,type,multiplier,trading_class,Exchange,Primary_Exchange,Currency,Expiry,underl_expiry,underl_type,underl_curr,underl_ex
8000,SPY,8000,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20160916,0,STK,USD,SMART
8001,SPY,8001,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20161021,0,STK,USD,SMART
8002,SPY,8002,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20161118,0,STK,USD,SMART
6000,ES,6000,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20160916,20160916,FUT,XXX,GLOBEX
6001,ES,6001,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20161021,20161216,FUT,XXX,GLOBEX
6002,ES,6002,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20161118,20161216,FUT,XXX,GLOBEX
