id,symbol,reqId,name,category,type,multiplier,trading_class,Exchange,Primary_Exchange,Currency,Expiry,underl_expiry,underl_type,underl_curr,underl_ex
8006,SPY,8006,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20170317,0,STK,USD,SMART
8004,SPY,8004,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20170421,0,STK,USD,SMART
8005,SPY,8005,SPDR S&P 500,Equity,OPT,100,,SMART,,USD,20170217,0,STK,USD,SMART
6006,ES,6006,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20170317,20170317,FUT,XXX,GLOBEX
6004,ES,6004,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20170421,20170616,FUT,XXX,GLOBEX
6005,ES,6005,Mini future S&P,Future,FOP,50,,GLOBEX,,USD,20170217,20170317,FUT,XXX,GLOBEX
